salinity,temperature
33.44,10.5
33.44,10.46
33.437,10.46
33.42,10.45
33.421,10.45
33.431,10.45
33.44,10.45
33.424,10.24
33.42,10.06
33.494,9.86
33.51,9.83
33.58,9.67
33.64,9.5
33.689,9.32
33.847,8.76
33.86,8.71
33.876,8.53
33.926,8.26
33.98,7.96
33.99,7.77
34.04,6.8
34.056,6.55
34.113,5.78
34.16,5.3
34.161,5.29
34.21,5.01
34.260999999999996,4.72
34.31,4.44
32.95,10.1
32.94,9.89
32.939,9.75
32.95,9.69
33.013000000000005,9.52
33.24,9.06
33.272,9.04
33.46,8.92
33.488,8.83
33.6,8.37
33.631,8.26
33.745,7.85
33.8,7.64
33.833,7.5
33.93,6.98
33.939,6.85
33.943000000000005,6.32
33.95,6.05
33.957,5.95
34.0,5.6
34.016,5.5
34.101,5.02
34.16,4.74
34.188,4.62
34.259,4.33
34.319,4.08
34.34,3.99
34.354,3.85
34.378,3.62
34.403,3.38
34.429,3.15
34.43,3.14
32.63,10.2
32.66,10.05
32.66,9.95
32.66,9.94
32.673,9.92
32.68,9.87
32.75,9.62
32.736,9.66
32.66,9.9
32.74,9.65
32.765,9.62
33.12,9.23
33.132,9.21
33.398,8.79
33.605,8.37
33.82,7.71
33.844,7.58
33.926,6.93
33.93,6.47
33.941,6.37
34.041,5.54
34.11,5.02
34.113,4.97
34.135,4.59
34.150999999999996,4.31
34.16,4.14
34.169000000000004,4.11
34.251999999999995,3.89
34.336,3.66
34.421,3.43
34.45,3.35
32.68,10.4
32.7,10.22
32.694,10.2
32.66,10.14
32.657,10.14
32.641,10.07
32.699,9.72
32.79,9.42
32.967,9.32
33.1,9.27
33.286,9.02
33.533,8.6
33.55,8.56
33.746,8.32
33.84,8.18
33.863,7.71
33.89,7.16
33.893,7.08
33.91,6.61
33.75,6.38
33.955,5.79
34.0,5.14
34.01,5.1
34.128,4.65
34.245,4.31
34.29,4.21
34.309,4.07
34.34,3.83
34.372,3.59
34.4,3.39
32.75,10.5
32.75,10.52
32.748000000000005,10.51
32.74,10.48
32.74,10.47
32.736999999999995,10.34
32.738,9.85
32.74,9.7
32.74,9.29
32.791,9.2
33.42,9.35
33.565,8.28
33.62,8.24
33.724000000000004,7.95
33.78,7.5
33.806999999999995,7.42
33.938,6.98
33.95,6.94
33.988,6.54
34.0,5.86
34.012,5.77
34.075,5.3
34.141,4.83
34.211,4.36
34.25,4.1
32.88,11.6
32.86,11.69
32.86,11.66
32.86,11.64
32.863,11.64
32.88,11.64
32.882,11.61
32.9,11.36
32.927,11.18
33.1,10.2
33.165,9.9
33.425,8.83
33.58,8.29
33.638000000000005,8.11
33.8,7.65
33.916,6.98
33.93,6.72
33.944,6.54
33.98,5.96
33.996,5.78
34.073,5.09
34.13,4.68
34.154,4.54
34.225,4.17
34.286,3.88
34.31,3.78
34.321,3.67
34.342,3.48
34.363,3.28
34.385,3.08
34.408,2.88
34.42,2.78
33.17,12.5
33.24,12.66
33.211999999999996,12.66
33.056999999999995,12.64
33.04,12.64
33.068000000000005,12.64
33.17,12.64
33.159,12.64
33.13,12.63
33.158,12.64
33.22,12.66
33.283,12.52
33.383,11.94
33.4,11.77
33.42,10.84
33.44,9.73
33.518,8.9
33.672,7.75
33.86,8.16
33.828,7.03
33.95,6.76
33.931999999999995,6.07
33.942,5.21
33.8,5.12
33.996,4.71
34.086,4.38
34.14,4.28
34.166,4.14
34.217,3.89
34.268,3.63
34.32,3.37
34.374,3.11
34.38,3.08
33.13,12.2
32.92,12.22
32.9,12.22
32.84,12.23
32.842,12.23
32.858000000000004,12.23
32.891,12.21
32.9,12.2
33.04,12.24
33.042,12.25
33.096,12.49
33.12,12.6
33.164,11.74
33.293,9.91
33.3,9.83
33.66,8.3
33.77,8.06
33.874,7.61
33.93,7.21
33.934,7.1
33.934,5.93
33.91,5.49
33.936,5.13
33.993,4.67
34.05,4.44
34.061,4.39
34.12,4.11
34.179,3.84
34.24,3.56
34.25,3.52
32.97,12.0
32.94,8.86
32.94,12.0
32.94,11.99
32.963,11.99
33.01,12.0
33.0,11.95
32.95,11.7
32.983000000000004,11.57
33.08,11.2
33.15,10.67
33.356,9.36
33.44,8.88
33.585,8.56
33.78,8.31
33.806,7.98
33.952,7.38
33.946,6.86
33.98,6.68
33.98,5.94
33.98,5.34
33.996,5.22
34.082,4.73
34.18,4.37
34.2,4.32
34.229,4.11
34.266,3.84
34.304,3.58
34.343,3.32
34.36,3.2
32.88,11.7
32.84,11.62
32.84,11.61
32.84,11.58
32.838,11.58
32.821,11.58
32.81,11.58
32.847,11.56
32.88,11.54
32.827,11.31
32.81,11.23
32.936,10.82
33.12,10.36
33.147,10.21
33.284,9.49
33.35,9.16
33.665,8.71
33.95,8.49
33.951,8.39
33.957,7.91
33.96,7.66
34.03,6.99
34.13,6.24
34.134,6.17
34.166,5.48
34.18,4.89
34.18,4.72
34.198,4.53
34.226,4.23
34.255,3.94
34.285,3.65
34.31,3.42
32.77,11.5
32.84,11.5
32.843,11.5
32.858000000000004,11.5
32.86,11.5
32.81,11.52
32.75,11.53
32.769,11.49
32.83,11.42
32.908,11.4
32.95,11.37
32.983000000000004,11.13
33.04,10.63
33.058,10.56
33.302,9.73
33.49,9.17
33.705999999999996,8.66
33.89,8.28
33.898,8.25
33.994,7.78
34.02,7.55
34.089,6.93
34.13,6.3
34.131,6.16
34.13,5.48
34.131,4.9
34.13,4.8
34.187,4.55
34.258,4.24
34.332,3.93
34.406,3.63
34.42,3.57
32.95,11.4
32.9,11.38
32.896,11.38
32.864000000000004,11.39
32.86,11.39
32.86,11.4
32.846,11.35
32.866,11.35
33.01,11.49
33.086999999999996,11.07
33.286,9.79
33.37,9.19
33.495,8.87
33.69,8.56
33.788000000000004,8.24
33.936,7.61
33.57,7.53
34.005,6.93
34.0,6.34
34.05,5.87
34.105,5.28
34.11,5.2
34.144,4.8
34.179,4.39
34.2,4.13
34.207,4.07
34.238,3.85
34.269,3.62
34.301,3.39
34.33,3.18
32.78,11.48
32.781,11.48
32.798,11.47
32.81,11.47
32.782,11.47
32.7,11.48
32.709,11.48
32.77,11.45
32.793,11.4
32.92,10.97
32.95,10.71
33.104,9.6
33.22,8.9
33.342,8.62
33.69,7.98
33.686,7.69
33.705999999999996,7.11
33.73,6.9
33.73,6.55
33.73,5.68
33.786,5.51
34.006,5.11
34.13,5.04
34.187,4.85
34.269,4.49
34.308,4.14
34.31,4.08
34.315,3.89
34.321,3.65
34.328,3.42
34.336999999999996,3.18
34.34,3.09
32.79,11.3
32.81,11.25
32.803000000000004,11.18
32.79,11.1
32.843,10.88
33.08,9.88
33.08,9.4
33.093,9.39
33.48,9.1
33.492,9.08
33.724000000000004,8.67
33.84,8.26
33.842,8.25
33.859,7.57
33.86,7.53
33.92,6.95
33.98,6.42
33.952,5.71
33.95,5.68
34.069,5.22
34.225,4.85
34.23,4.84
34.28,4.52
34.306999999999995,4.23
34.31,4.01
34.313,3.98
34.332,3.76
34.352,3.54
34.372,3.32
34.394,3.1
34.4,3.04
33.01,10.9
32.92,10.77
33.033,10.61
33.1,10.53
33.141,10.35
33.243,9.75
33.3,9.38
33.309,9.33
33.42,8.82
33.444,8.77
33.635999999999996,8.43
33.78,8.2
33.799,8.12
33.89,7.47
33.897,7.37
33.925,6.87
33.93,6.62
33.944,6.56
34.05,6.23
34.066,6.15
34.163000000000004,5.57
34.22,5.11
34.224000000000004,5.01
34.235,4.61
34.229,4.27
34.22,4.14
34.23,4.01
34.25,3.76
34.271,3.51
34.292,3.27
34.31,3.07
33.28,11.0
33.3,10.89
33.319,10.83
33.345,10.8
33.416,10.61
33.42,10.6
33.567,9.89
33.58,9.82
33.671,9.27
33.68,9.21
33.732,8.88
33.789,8.61
33.8,8.57
33.985,8.19
34.0,8.16
34.0,7.66
34.0,7.17
34.0,7.13
34.1,6.72
34.11,6.7
34.169000000000004,6.11
34.217,5.43
34.22,5.38
34.269,4.9
34.31,4.5
34.311,4.48
34.319,4.21
34.329,3.95
